idx=0: x=430, y=154, w=41, h=72, aspect=0.569444, area=2952 [filtered]
idx=1: x=808, y=157, w=31, h=29, aspect=1.06897, area=899 [filtered]
idx=2: x=64, y=199, w=7, h=20, aspect=0.35, area=140 [filtered]
idx=3: x=821, y=210, w=18, h=13, aspect=1.38462, area=234 [filtered]
idx=4: x=278, y=226, w=36, h=36, aspect=1, area=1296 [filtered]
idx=5: x=16, y=236, w=15, h=31, aspect=0.483871, area=465 [filtered]
idx=6: x=57, y=237, w=18, h=19, aspect=0.947368, area=342 [filtered]
idx=7: x=92, y=239, w=4, h=24, aspect=0.166667, area=96 [filtered]
idx=8: x=397, y=247, w=24, h=14, aspect=1.71429, area=336 [filtered]
idx=9: x=234, y=251, w=9, h=7, aspect=1.28571, area=63 [filtered]
idx=10: x=334, y=251, w=18, h=5, aspect=3.6, area=90 [filtered]
idx=11: x=253, y=259, w=31, h=9, aspect=3.44444, area=279 [filtered]
idx=12: x=602, y=273, w=9, h=12, aspect=0.75, area=108 [filtered]
idx=13: x=471, y=275, w=36, h=91, aspect=0.395604, area=3276 [filtered]
idx=14: x=532, y=275, w=9, h=11, aspect=0.818182, area=99 [filtered]
idx=15: x=566, y=277, w=10, h=8, aspect=1.25, area=80 [filtered]
idx=16: x=63, y=281, w=14, h=7, aspect=2, area=98 [filtered]
idx=17: x=395, y=283, w=27, h=20, aspect=1.35, area=540 [filtered]
idx=18: x=649, y=292, w=18, h=9, aspect=2, area=162 [filtered]
idx=19: x=82, y=303, w=12, h=10, aspect=1.2, area=120 [filtered]
idx=20: x=395, y=312, w=13, h=12, aspect=1.08333, area=156 [filtered]
idx=21: x=529, y=313, w=112, h=37, aspect=3.02703, area=4144 [candidate]
idx=22: x=316, y=317, w=16, h=17, aspect=0.941176, area=272 [filtered]
idx=23: x=370, y=329, w=31, h=20, aspect=1.55, area=620 [filtered]
idx=24: x=701, y=330, w=11, h=10, aspect=1.1, area=110 [filtered]
idx=25: x=653, y=331, w=27, h=18, aspect=1.5, area=486 [filtered]
idx=26: x=413, y=348, w=8, h=49, aspect=0.163265, area=392 [filtered]
idx=27: x=379, y=351, w=4, h=44, aspect=0.0909091, area=176 [filtered]
idx=28: x=473, y=353, w=23, h=29, aspect=0.793103, area=667 [filtered]
idx=29: x=531, y=361, w=10, h=13, aspect=0.769231, area=130 [filtered]
idx=30: x=566, y=363, w=9, h=11, aspect=0.818182, area=99 [filtered]
idx=31: x=601, y=363, w=9, h=12, aspect=0.75, area=108 [filtered]
idx=32: x=636, y=364, w=9, h=11, aspect=0.818182, area=99 [filtered]
idx=33: x=672, y=365, w=8, h=9, aspect=0.888889, area=72 [filtered]
idx=34: x=566, y=425, w=75, h=35, aspect=2.14286, area=2625 [filtered]
idx=35: x=736, y=450, w=17, h=15, aspect=1.13333, area=255 [filtered]
